fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,feature_set,feature_count
2,2021-03-01,elastic_net_core_10,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",1.0889797797908456,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.866549447674691,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,1,core_10,10
2,2021-03-01,elastic_net_core_10,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.8276710558995964,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_macro_core_8,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",1.3074484375110338,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",1.2963926289915801,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",1.2880577757944127,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",1.2702253564218073,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",1.2528484847839514,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",1.2191491625218902,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",1.1367441843491317,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.8665494497546042,12,2019-10-01,2020-09-01,50,5,0,macro_core_8,8
2,2021-03-01,elastic_net_macro_core_8,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,1,macro_core_8,8
