regime_dimension,regime,model,n,events,prevalence,average_precision,roc_auc,brier_score,mean_probability,calibration_bias,precision,recall,specificity,f1,balanced_accuracy,alert_rate,true_positives,false_positives,true_negatives,false_negatives,brier_improvement_vs_prevalence_pct
policy_rate_regime,lower_policy_rate,historical_prevalence,23,5,0.21739130434782608,0.22767431399010346,0.4777777777777778,0.17046251991677636,0.20289909768145392,-0.01449220666637216,0.0,0.0,1.0,0.0,0.5,0.0,0,0,18,5,0.0
policy_rate_regime,lower_policy_rate,logistic_regression,23,5,0.21739130434782608,0.36257575757575755,0.7333333333333333,0.30428558750203094,0.08692596757126426,-0.1304653367765618,0.0,0.0,0.8888888888888888,0.0,0.4444444444444444,0.08695652173913043,0,2,16,5,-78.50586020351572
policy_rate_regime,lower_policy_rate,random_forest,23,5,0.21739130434782608,0.23903846153846153,0.5111111111111111,0.2878241415818139,0.38747034584173984,0.17007904149391376,0.2777777777777778,1.0,0.2777777777777778,0.4347826086956522,0.6388888888888888,0.782608695652174,5,13,5,0,-68.84893038207821
policy_rate_regime,lower_policy_rate,xgboost,23,5,0.21739130434782608,0.2170238095238095,0.4444444444444444,0.3622373285913366,0.33345732651650906,0.11606602216868298,0.125,0.2,0.6111111111111112,0.15384615384615385,0.40555555555555556,0.34782608695652173,1,7,11,4,-112.50262448788686
activity_regime,activity_contraction,historical_prevalence,16,2,0.125,0.2361111111111111,0.6607142857142857,0.1151065371023105,0.2030925406105432,0.07809254061054319,0.0,0.0,1.0,0.0,0.5,0.0,0,0,14,2,0.0
activity_regime,activity_contraction,logistic_regression,16,2,0.125,1.0,1.0,0.2966572641338562,0.43439954645415946,0.30939954645415946,0.2857142857142857,1.0,0.6428571428571429,0.4444444444444445,0.8214285714285714,0.4375,2,5,9,0,-157.72408031889393
activity_regime,activity_contraction,random_forest,16,2,0.125,0.29166666666666663,0.75,0.38831243794267994,0.6502313223109026,0.5252313223109026,0.125,1.0,0.0,0.2222222222222222,0.5,1.0,2,14,0,0,-237.35046481116444
activity_regime,activity_contraction,xgboost,16,2,0.125,0.3333333333333333,0.7857142857142857,0.47793685495630334,0.7011251030489802,0.5761251030489802,0.15384615384615385,1.0,0.21428571428571427,0.2666666666666667,0.6071428571428571,0.8125,2,11,3,0,-315.2126082391804
activity_regime,activity_non_contraction,historical_prevalence,30,14,0.4666666666666667,0.44480457965679643,0.42857142857142855,0.3191895685628438,0.20230756568239533,-0.26435910098427134,0.0,0.0,1.0,0.0,0.5,0.0,0,0,16,14,0.0
activity_regime,activity_non_contraction,logistic_regression,30,14,0.4666666666666667,0.8274164327735756,0.8080357142857143,0.26636331341443215,0.26701983764605836,-0.19964682902060832,0.875,0.5,0.9375,0.6363636363636364,0.71875,0.26666666666666666,7,1,15,7,16.550119537509552
activity_regime,activity_non_contraction,random_forest,30,14,0.4666666666666667,0.8411986564960912,0.8571428571428571,0.18262448901616707,0.4055763201976202,-0.061090346469046486,0.6086956521739131,1.0,0.4375,0.7567567567567568,0.71875,0.7666666666666667,14,9,7,0,42.78494443335452
activity_regime,activity_non_contraction,xgboost,30,14,0.4666666666666667,0.8136144609358894,0.8392857142857143,0.20333115572768767,0.3225957683598002,-0.14407089830686648,0.8333333333333334,0.7142857142857143,0.875,0.7692307692307692,0.7946428571428572,0.4,10,2,14,4,36.297681455196205
