fold_id,outer_test_start,model,candidate_id,parameters,inner_average_precision,inner_roc_auc,inner_brier_score,inner_event_rate,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected
2,2021-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3694564348307664,0.3006993006993007,0.45497178649226133,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.39261958801432484,0.3776223776223776,0.558056976835298,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3630826902566033,0.27972027972027974,0.4631959327928825,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3811434824205722,0.34965034965034963,0.5211019824466304,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3694564348307664,0.3006993006993007,0.45497178649226133,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
2,2021-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.39553334092807774,0.38461538461538464,0.5484737178547098,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,1
2,2021-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.3630826902566033,0.27972027972027974,0.4631959327928825,0.4583333333333333,24,2018-10-01,2020-09-01,38,5,0
3,2022-03-01,logistic_regression,1,"{""C"":0.1,""max_iter"":5000}",0.2704184704184704,0.6105263157894737,0.3332987440812014,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,logistic_regression,2,"{""C"":1.0,""max_iter"":5000}",0.3474786324786325,0.7263157894736842,0.3016753036477679,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,logistic_regression,3,"{""C"":10.0,""max_iter"":5000}",0.361060606060606,0.7368421052631579,0.29160730356724607,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,1
3,2022-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.14705533596837944,0.14736842105263157,0.3245914982939347,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.1767378756509191,0.2631578947368421,0.31724564019030466,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,1
3,2022-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.1587336576467011,0.22105263157894736,0.32609032617172085,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.1646103896103896,0.25263157894736843,0.3341946556452334,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.1628129117259552,0.23157894736842105,0.2996196187309404,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.15326839826839828,0.18947368421052632,0.30819803438048576,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.16627979863273978,0.2631578947368421,0.3239020106177529,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.167723427467673,0.2736842105263158,0.32961001865799927,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.20565656565656565,0.4105263157894737,0.3543187157481433,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.17809523809523808,0.3157894736842105,0.33223848868211,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.25453781512605045,0.5684210526315789,0.3735526199438051,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.22756132756132755,0.4842105263157895,0.31895073550408004,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.1938750862663906,0.3684210526315789,0.3506136026810798,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.18,0.3263157894736842,0.33290844457262164,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
3,2022-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.2586070791953145,0.5789473684210527,0.3626850593278967,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,1
3,2022-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.22073593073593073,0.45263157894736844,0.31877351252684394,0.20833333333333334,24,2019-10-01,2021-09-01,50,5,0
4,2023-03-01,logistic_regression,1,"{""C"":0.1,""max_iter"":5000}",0.9821780783319245,0.9790209790209791,0.1651934971756466,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,logistic_regression,2,"{""C"":1.0,""max_iter"":5000}",1.0,1.0,0.16922648046490663,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,1
4,2023-03-01,logistic_regression,3,"{""C"":10.0,""max_iter"":5000}",1.0,1.0,0.2496230970423434,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,1,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.8668577939088774,0.8181818181818182,0.18848678159981647,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,2,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.9885883347421809,0.986013986013986,0.14597137817702535,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,1
4,2023-03-01,random_forest,3,"{""max_depth"":2,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.8642075370582156,0.8181818181818182,0.20090510836675166,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,4,"{""max_depth"":2,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.8799690505572857,0.8461538461538461,0.16688964454073107,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,5,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}",0.8649568856165665,0.8111888111888111,0.19945397646438148,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,6,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":2,""n_estimators"":200}",0.8880896880896881,0.8321678321678322,0.18968128597964007,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,7,"{""max_depth"":4,""max_features"":0.5,""min_samples_leaf"":5,""n_estimators"":200}",0.8304739289051029,0.7762237762237763,0.20484634898875853,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,random_forest,8,"{""max_depth"":4,""max_features"":1.0,""min_samples_leaf"":5,""n_estimators"":200}",0.8606818960325746,0.8111888111888111,0.18187126525099942,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,1,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9378604301681226,0.9300699300699301,0.1690290540270466,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,2,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9092185592185591,0.8741258741258742,0.18923387922361176,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,3,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9669202592279516,0.958041958041958,0.18006725840298887,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,4,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":2,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9838264299802761,0.9790209790209791,0.1609903211867597,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,5,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9436879359956285,0.9370629370629371,0.17132789409783775,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,6,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9092185592185591,0.8741258741258742,0.19014963442405852,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,7,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":2.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9751850713389175,0.972027972027972,0.18340226788112876,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,0
4,2023-03-01,xgboost,8,"{""colsample_bytree"":0.8,""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":150,""reg_lambda"":1.0,""subsample"":0.8}",0.9885883347421809,0.986013986013986,0.16251086327300573,0.5416666666666666,24,2020-10-01,2022-09-01,62,5,1
