scenario,horizon_months,training_scheme,fold_id,model,n,mae,rmse,median_absolute_error,directional_accuracy,correlation,mae_improvement_vs_zero_pct
h3_expanding,3,expanding,2,elastic_net,12,0.29050504326127885,0.3459886672939528,0.25229638475464844,0.08333333333333333,-0.8762051738931824,-68.66755654800795
h3_expanding,3,expanding,2,zero_change,12,0.17223528294760837,0.19763630830870407,0.20562519982010008,0.0,,0.0
h3_expanding,3,expanding,3,elastic_net,12,0.3253601243038667,0.3587038927250405,0.39386511564533055,0.25,-0.6545157552338086,-2.9704200610511764
h3_expanding,3,expanding,3,zero_change,12,0.31597435856915085,0.3484521985491988,0.38992346774185993,0.0,,0.0
h3_expanding,3,expanding,4,elastic_net,10,0.1414479595233728,0.15244201263739132,0.14772780586151846,0.1,-0.47538705880619103,-47.337864549394425
h3_expanding,3,expanding,4,zero_change,10,0.09600244984951098,0.11157111064486411,0.07885200779040491,0.0,,0.0
h3_expanding,3,expanding,all,elastic_net,46,0.2868149449745668,0.38175641724633247,0.24076207121797805,0.2608695652173913,-0.23931489638432768,-16.661750985806837
h3_expanding,3,expanding,all,zero_change,46,0.24585174022414674,0.3436878628060296,0.18326977615695506,0.0,,0.0
h3_rolling,3,rolling,1,elastic_net,12,0.3772687116736359,0.5442663019906522,0.21206124817605385,0.5833333333333334,-0.40207832538636484,-0.8146876093760558
h3_rolling,3,rolling,1,zero_change,12,0.37421998780121085,0.5309858987546076,0.23423162745729986,0.0,,0.0
h3_rolling,3,rolling,2,elastic_net,12,0.2993314583305611,0.36712210353892466,0.23520771937498064,0.16666666666666666,-0.8766928799849113,-73.79218311593776
h3_rolling,3,rolling,2,zero_change,12,0.17223528294760837,0.19763630830870407,0.20562519982010008,0.0,,0.0
h3_rolling,3,rolling,3,elastic_net,12,0.32946868173178,0.3629600331007108,0.39892987475052655,0.3333333333333333,-0.6431216188871337,-4.270701972063956
h3_rolling,3,rolling,3,zero_change,12,0.31597435856915085,0.3484521985491988,0.38992346774185993,0.0,,0.0
h3_rolling,3,rolling,4,elastic_net,10,0.1554845044130273,0.16941821657951786,0.16049807247442854,0.1,-0.7830352982421569,-61.958892358223835
h3_rolling,3,rolling,4,zero_change,10,0.09600244984951098,0.11157111064486411,0.07885200779040491,0.0,,0.0
h3_rolling,3,rolling,all,elastic_net,46,0.29625372315134774,0.3912065646206276,0.2335887188004847,0.30434782608695654,-0.23875672617226718,-20.500966509835862
h3_rolling,3,rolling,all,zero_change,46,0.24585174022414674,0.3436878628060296,0.18326977615695506,0.0,,0.0
h6_expanding,6,expanding,1,elastic_net,12,0.6564825032346938,0.8492595550746266,0.6173490950469174,0.25,-0.5810490490349244,-2.434437320805763
h6_expanding,6,expanding,1,zero_change,12,0.6408806651406809,0.81306524074943,0.5739161801954001,0.0,,0.0
h6_expanding,6,expanding,2,elastic_net,12,0.5051407922525939,0.5862865686886359,0.4403197302007972,0.6666666666666666,-0.02891815236736335,-36.24406292998323
h6_expanding,6,expanding,2,zero_change,12,0.3707616914743575,0.42003702110678204,0.29838670210251006,0.0,,0.0
h6_expanding,6,expanding,3,elastic_net,12,0.5631822813240475,0.6356228829648691,0.7199161976269591,0.25,-0.9491583890870068,-5.0017613812796595
h6_expanding,6,expanding,3,zero_change,12,0.5363550800629283,0.6042512862778988,0.677747888006755,0.0,,0.0
h6_expanding,6,expanding,4,elastic_net,10,0.2603044546821849,0.30413528627811787,0.24757577786473772,0.5,0.0493405657242216,-89.46464958644599
h6_expanding,6,expanding,4,zero_change,10,0.13738945774336506,0.1683893198647613,0.105298492974915,0.0,,0.0
h6_expanding,6,expanding,all,elastic_net,46,0.5065372058382146,0.6350772788631892,0.4403197302007972,0.41304347826086957,0.01741596436979636,-16.796343481992228
h6_expanding,6,expanding,all,zero_change,46,0.4336926916862881,0.5655904812065952,0.29838670210251006,0.0,,0.0
h6_rolling,6,rolling,1,elastic_net,12,0.7002935160615591,0.8627441694666765,0.6227249883381845,0.25,-0.6115595122930441,-9.270501382318407
h6_rolling,6,rolling,1,zero_change,12,0.6408806651406809,0.81306524074943,0.5739161801954001,0.0,,0.0
h6_rolling,6,rolling,2,elastic_net,12,0.5530843227110085,0.6664518526372819,0.42461556537049744,0.6666666666666666,-0.11487279142463139,-49.175153590338155
h6_rolling,6,rolling,2,zero_change,12,0.3707616914743575,0.42003702110678204,0.29838670210251006,0.0,,0.0
h6_rolling,6,rolling,3,elastic_net,12,0.5789163978566908,0.6549376116151857,0.7456551235265159,0.16666666666666666,-0.8874464532670763,-7.935287531679377
h6_rolling,6,rolling,3,zero_change,12,0.5363550800629283,0.6042512862778988,0.677747888006755,0.0,,0.0
h6_rolling,6,rolling,4,elastic_net,10,0.20396851631018267,0.2504305862084157,0.17090406927086627,0.4,0.1262830700644323,-48.46009268861309
h6_rolling,6,rolling,4,zero_change,10,0.13738945774336506,0.1683893198647613,0.105298492974915,0.0,,0.0
h6_rolling,6,rolling,all,elastic_net,46,0.5223307826663679,0.6599786059176511,0.38831501902777654,0.3695652173913043,0.0037900331224855377,-20.437995077905583
h6_rolling,6,rolling,all,zero_change,46,0.4336926916862881,0.5655904812065952,0.29838670210251006,0.0,,0.0
