fold_id,model,method,feature,origins,mean_absolute_attribution,normalized_importance,mean_signed_attribution,attribution_positive_share,attribution_negative_share,attribution_zero_share,attribution_sign_consistency,mean_model_weight,weight_positive_share,weight_negative_share,weight_zero_share,weight_sign_consistency,rank
all,random_forest,mean_decrease_impurity,npl90_lag_1m,46,0.026838797637972343,0.026838797637972343,,,,,,0.026838797637972343,1.0,0.0,0.0,1.0,14.0
all,random_forest,mean_decrease_impurity,month_sin,46,0.02251288022925408,0.02251288022925408,,,,,,0.02251288022925408,1.0,0.0,0.0,1.0,15.0
all,random_forest,mean_decrease_impurity,ipc_yoy,46,0.020634951153883134,0.020634951153883134,,,,,,0.020634951153883134,1.0,0.0,0.0,1.0,16.0
all,random_forest,mean_decrease_impurity,real_m1_yoy_pct,46,0.02043366889436253,0.02043366889436253,,,,,,0.02043366889436253,1.0,0.0,0.0,1.0,17.0
all,random_forest,mean_decrease_impurity,usdclp_yoy_pct,46,0.012733060999555661,0.012733060999555661,,,,,,0.012733060999555661,1.0,0.0,0.0,1.0,18.0
all,random_forest,mean_decrease_impurity,npl90_change_3m_pp,46,0.008903189849084434,0.008903189849084434,,,,,,0.008903189849084434,0.9347826086956522,0.0,0.06521739130434782,0.9347826086956522,19.0
all,random_forest,mean_decrease_impurity,consumer_lending_rate_change_3m_pp,46,0.008102508018692344,0.008102508018692344,,,,,,0.008102508018692344,1.0,0.0,0.0,1.0,20.0
all,random_forest,mean_decrease_impurity,month_cos,46,0.00524012596119752,0.00524012596119752,,,,,,0.00524012596119752,0.9565217391304348,0.0,0.043478260869565216,0.9565217391304348,21.0
all,random_forest,mean_decrease_impurity,npl90_change_12m_pp,46,0.004741283714574412,0.004741283714574412,,,,,,0.004741283714574412,0.9130434782608695,0.0,0.08695652173913043,0.9130434782608695,22.0
all,random_forest,mean_decrease_impurity,npl90_change_1m_pp,46,0.003987771287529619,0.003987771287529619,,,,,,0.003987771287529619,0.8478260869565217,0.0,0.15217391304347827,0.8478260869565217,23.0
all,xgboost,tree_shap,npl90_rolling_mean_6m,46,0.07020273888686104,0.13359132390185813,-0.023897394791002505,0.7608695652173914,0.2391304347826087,0.0,0.7608695652173914,,,,,,1.0
all,xgboost,tree_shap,npl90_lag_12m,46,0.0697120781393175,0.13265762786819404,0.02940316249378552,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,,,,,,2.0
all,xgboost,tree_shap,npl90_rolling_mean_3m,46,0.05778803497283345,0.10996693605001998,-0.04176048507424244,0.6956521739130435,0.30434782608695654,0.0,0.6956521739130435,,,,,,3.0
all,xgboost,tree_shap,npl90_level_t,46,0.036920454585924745,0.07025726467938737,-0.010351420754728757,0.5434782608695652,0.45652173913043476,0.0,0.5434782608695652,,,,,,4.0
all,xgboost,tree_shap,consumer_lending_rate,46,0.03180054109543562,0.06051439663317447,0.021750008798730763,0.45652173913043476,0.5434782608695652,0.0,0.5434782608695652,,,,,,5.0
all,xgboost,tree_shap,month_sin,46,0.02789667414744263,0.053085587413072996,0.0018576425297752671,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,,,,,,6.0
all,xgboost,tree_shap,real_consumer_loans_yoy_pct,46,0.02639306363467451,0.05022431273606692,-0.02555420813049473,0.06521739130434782,0.9347826086956522,0.0,0.9347826086956522,,,,,,7.0
all,xgboost,tree_shap,npl90_rolling_mean_12m,46,0.025084372266302005,0.04773395672927959,-0.011349848349472386,0.717391304347826,0.2826086956521739,0.0,0.717391304347826,,,,,,8.0
all,xgboost,tree_shap,npl90_lag_6m,46,0.025061850774205675,0.04769109976966377,-0.017038479851338627,0.391304347826087,0.6086956521739131,0.0,0.6086956521739131,,,,,,9.0
all,xgboost,tree_shap,unemployment_rate,46,0.02349189620935763,0.04470357660305597,0.023275287165154663,0.9565217391304348,0.043478260869565216,0.0,0.9565217391304348,,,,,,10.0
all,xgboost,tree_shap,npl90_lag_1m,46,0.022318217981196736,0.042470141970434444,-0.010908814246447393,0.6956521739130435,0.30434782608695654,0.0,0.6956521739130435,,,,,,11.0
all,xgboost,tree_shap,npl90_lag_3m,46,0.017235367247612095,0.03279780198111549,-0.005187191719533471,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,,,,,,12.0
