fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,scenario,horizon_months,training_scheme
4,2023-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.2373862788832953,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.37188469093850957,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.37188469093850957,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
1,2020-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.197391970909137,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.19475900901340848,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.18880509413752,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.1763010406316092,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.13941456638172303,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.12770868796081172,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.11937724567460549,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.10187013123599843,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.10048926523313113,12,2019-01-01,2019-12-01,44,2,1,h3_rolling,3,rolling
1,2020-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.1018576478945734,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.10048926523313113,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
1,2020-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.10048926523313113,12,2019-01-01,2019-12-01,44,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.45519114524770204,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.4563909306700587,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.47440683403099193,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.45873807273950934,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.4641467370217753,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.5192767579293646,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.5340751736833512,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.42824608458567465,12,2020-01-01,2020-12-01,56,2,0,h3_rolling,3,rolling
2,2021-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.4094979305276955,12,2020-01-01,2020-12-01,56,2,1,h3_rolling,3,rolling
